   2.0000000e-02   3.0000000e-02   8.0000000e+00   5.0000000e+01
   5.0000000e-02   7.6666667e-02   8.6000000e+00   6.8571429e+01
   3.5000000e-02   1.2333333e-01   9.2000000e+00   8.7142857e+01
   6.5000000e-02   4.5555556e-02   9.8000000e+00   1.0571429e+02
   2.7500000e-02   9.2222222e-02   1.0400000e+01   1.2428571e+02
   5.7500000e-02   1.3888889e-01   8.1200000e+00   1.4285714e+02
   4.2500000e-02   6.1111111e-02   8.7200000e+00   1.6142857e+02
   7.2500000e-02   1.0777778e-01   9.3200000e+00   5.2653061e+01
   2.3750000e-02   1.5444444e-01   9.9200000e+00   7.1224490e+01
   5.3750000e-02   3.5185185e-02   1.0520000e+01   8.9795918e+01
   3.8750000e-02   8.1851852e-02   8.2400000e+00   1.0836735e+02
   6.8750000e-02   1.2851852e-01   8.8400000e+00   1.2693878e+02
   3.1250000e-02   5.0740741e-02   9.4400000e+00   1.4551020e+02
   6.1250000e-02   9.7407407e-02   1.0040000e+01   1.6408163e+02
   4.6250000e-02   1.4407407e-01   1.0640000e+01   5.5306122e+01
   7.6250000e-02   6.6296296e-02   8.3600000e+00   7.3877551e+01
   2.1875000e-02   1.1296296e-01   8.9600000e+00   9.2448980e+01
   5.1875000e-02   1.5962963e-01   9.5600000e+00   1.1102041e+02
   3.6875000e-02   4.0370370e-02   1.0160000e+01   1.2959184e+02
   6.6875000e-02   8.7037037e-02   1.0760000e+01   1.4816327e+02
   2.9375000e-02   1.3370370e-01   8.4800000e+00   1.6673469e+02
   5.9375000e-02   5.5925926e-02   9.0800000e+00   5.7959184e+01
   4.4375000e-02   1.0259259e-01   9.6800000e+00   7.6530612e+01
   7.4375000e-02   1.4925926e-01   1.0280000e+01   9.5102041e+01
   2.5625000e-02   7.1481481e-02   1.0880000e+01   1.1367347e+02
   5.5625000e-02   1.1814815e-01   8.0240000e+00   1.3224490e+02
   4.0625000e-02   1.6481481e-01   8.6240000e+00   1.5081633e+02
   7.0625000e-02   3.1728395e-02   9.2240000e+00   1.6938776e+02
   3.3125000e-02   7.8395062e-02   9.8240000e+00   6.0612245e+01
   6.3125000e-02   1.2506173e-01   1.0424000e+01   7.9183673e+01
   4.8125000e-02   4.7283951e-02   8.1440000e+00   9.7755102e+01
   7.8125000e-02   9.3950617e-02   8.7440000e+00   1.1632653e+02
   2.0937500e-02   1.4061728e-01   9.3440000e+00   1.3489796e+02
   5.0937500e-02   6.2839506e-02   9.9440000e+00   1.5346939e+02
   3.5937500e-02   1.0950617e-01   1.0544000e+01   1.7204082e+02
